cyclomatic_complexity,number_of_instructions,has_method,full_name,is_code_smell
6,50,True,onPostExecute#org.brandroid.openmanager.adapters.HeatmapAdapter$ScanSizeTask,true
5,27,True,onPostExecute#org.brandroid.openmanager.util.NetworkIOTask,true
5,51,True,onPostExecute#org.adblockplus.android.AdblockPlus$DownloadTask,true
5,28,True,onPostExecute#org.adw.launcher.WallpaperChooser$WallpaperLoader,true
55,5,True,onPostExecute#com.liato.bankdroid.BankEditActivity$DataRetrieverTask,true
33,4,True,onPostExecute#com.liato.bankdroid.appwidget.AutoRefreshService$DataRetrieverTask,true
46,4,True,onPostExecute#com.liato.bankdroid.DataRetrieverTask,true
1,1,False,doInBackground#com.oF2pks.kalturadeviceinfos.MainActivity$ProvisionTask,false
1,2,True,onPostExecute#com.oF2pks.kalturadeviceinfos.MainActivity$ProvisionTask,false
1,3,False,<init>#com.oF2pks.kalturadeviceinfos.MainActivity$ProvisionTask,false
1,4,False,doInBackground#com.oF2pks.kalturadeviceinfos.MainActivity$ProvisionTask,false
2,5,True,onPostExecute#com.oF2pks.kalturadeviceinfos.MainActivity$ProvisionTask,false
3,28,False,provisionWidevine#com.oF2pks.kalturadeviceinfos.MainActivity$ProvisionTask,false
1,2,False,doInBackground#com.oF2pks.kalturadeviceinfos.MainActivity$CollectorTask,false
1,1,False,doInBackground#com.oF2pks.kalturadeviceinfos.MainActivity$CollectorTask,false
1,2,True,onPostExecute#com.oF2pks.kalturadeviceinfos.MainActivity$CollectorTask,false
1,3,False,<init>#com.oF2pks.kalturadeviceinfos.MainActivity$CollectorTask,false
1,2,False,<init>#com.oF2pks.kalturadeviceinfos.MainActivity$CollectorTask,false
1,26,True,onPostExecute#com.oF2pks.kalturadeviceinfos.MainActivity$CollectorTask,false
1,1,False,doInBackground#org.droidtr.deletegapps.Download,false
1,3,False,<init>#org.droidtr.deletegapps.Download,false
1,7,False,run#org.droidtr.deletegapps.Download,false
4,33,False,doInBackground#org.droidtr.deletegapps.Download,false
2,5,False,onCancelled#nerd.tuxmobil.fahrplan.congress.parser,false
1,31,False,storeMeta#nerd.tuxmobil.fahrplan.congress.parser,false
19,146,False,setChangedFlags#nerd.tuxmobil.fahrplan.congress.parser,false
1,1,False,doInBackground#nerd.tuxmobil.fahrplan.congress.parser,false
1,5,False,notifyActivity#nerd.tuxmobil.fahrplan.congress.parser,false
2,9,False,doInBackground#nerd.tuxmobil.fahrplan.congress.parser,false
3,7,False,setListener#nerd.tuxmobil.fahrplan.congress.parser,false
4,81,False,storeLectureList#nerd.tuxmobil.fahrplan.congress.parser,false
1,7,False,<init>#nerd.tuxmobil.fahrplan.congress.parser,false
78,261,False,parseFahrplan#nerd.tuxmobil.fahrplan.congress.parser,false
1,2,True,onPostExecute#nerd.tuxmobil.fahrplan.congress.parser,false
2,6,True,onPostExecute#nerd.tuxmobil.fahrplan.congress.parser,false
1,5,False,doInBackground#nerd.tuxmobil.fahrplan.congress.fetcher,false
2,6,True,onPostExecute#nerd.tuxmobil.fahrplan.congress.fetcher,false
3,7,False,setListener#nerd.tuxmobil.fahrplan.congress.fetcher,false
1,2,False,onCancelled#nerd.tuxmobil.fahrplan.congress.fetcher,false
1,1,False,doInBackground#nerd.tuxmobil.fahrplan.congress.fetcher,false
1,2,True,onPostExecute#nerd.tuxmobil.fahrplan.congress.fetcher,false
1,5,False,<init>#nerd.tuxmobil.fahrplan.congress.fetcher,false
2,8,False,notifyActivity#nerd.tuxmobil.fahrplan.congress.fetcher,false
6,69,False,fetchthis#nerd.tuxmobil.fahrplan.congress.fetcher,false
1,10,False,<init>#com.markuspage.android.atimetracker.DBBackup,false
1,1,False,doInBackground#com.markuspage.android.atimetracker.DBBackup,false
1,2,True,onProgressUpdate#com.markuspage.android.atimetracker.DBBackup,false
3,7,False,readActivities#com.markuspage.android.atimetracker.DBBackup,false
1,3,False,onCancelled#com.markuspage.android.atimetracker.DBBackup,false
6,34,False,doInBackground#com.markuspage.android.atimetracker.DBBackup,false
2,7,False,copyActivity#com.markuspage.android.atimetracker.DBBackup,false
1,2,True,onPostExecute#com.markuspage.android.atimetracker.DBBackup,false
10,46,False,copyTimes#com.markuspage.android.atimetracker.DBBackup,false
1,3,True,onPostExecute#com.markuspage.android.atimetracker.DBBackup,false
1,3,False,<init>#com.fairphone.fplauncher3.nt,false
1,13,False,doInBackground#com.fairphone.fplauncher3.nt,false
1,3,True,onPostExecute#com.fairphone.fplauncher3.nt,false
1,5,False,<init>#com.fairphone.fplauncher3.mi,false
1,2,False,doInBackground#com.fairphone.fplauncher3.mi,false
1,26,False,a#com.fairphone.fplauncher3.mj,false
1,1,False,doInBackground#com.fairphone.fplauncher3.mj,false
1,4,False,<init>#com.fairphone.fplauncher3.mj,false
1,1,False,doInBackground#com.fairphone.fplauncher3.mk,false
1,10,False,a#com.fairphone.fplauncher3.mk,false
1,4,False,<init>#com.fairphone.fplauncher3.mk,false
2,5,False,doInBackground#com.fairphone.fplauncher3.i,false
1,4,False,<init>#com.fairphone.fplauncher3.i,false
1,3,True,onPostExecute#com.fairphone.fplauncher3.i,false
1,4,False,<init>#com.fairphone.fplauncher3.h,false
2,11,False,doInBackground#com.fairphone.fplauncher3.h,false
1,4,False,<init>#com.fairphone.fplauncher3.bb,false
1,2,False,doInBackground#com.fairphone.fplauncher3.bb,false
1,4,False,<init>#com.fairphone.fplauncher3.ew,false
1,2,False,doInBackground#com.fairphone.fplauncher3.ew,false
1,3,False,<init>#com.fairphone.fplauncher3.el,false
1,3,True,onPostExecute#com.fairphone.fplauncher3.el,false
1,3,False,doInBackground#com.fairphone.fplauncher3.el,false
1,4,False,<init>#com.fairphone.fplauncher3.ec,false
1,4,False,doInBackground#com.fairphone.fplauncher3.ec,false
4,12,False,a#com.fairphone.fplauncher3.lc,false
1,1,False,doInBackground#com.fairphone.fplauncher3.lc,false
1,10,False,<init>#com.fairphone.fplauncher3.lc,false
6,24,False,c#com.fairphone.fplauncher3.lc,false
1,9,False,<init>#com.fairphone.fplauncher3.lc,false
1,8,False,<init>#com.fairphone.fplauncher3.lc,false
2,4,True,onPostExecute#com.fairphone.fplauncher3.lc,false
1,8,False,a#com.fairphone.fplauncher3.lc,false
37,233,False,b#com.fairphone.fplauncher3.lc,false
5,12,True,onPostExecute#com.fairphone.fplauncher3.kx,false
3,10,False,a#com.fairphone.fplauncher3.kx,false
1,9,False,<init>#com.fairphone.fplauncher3.kx,false
1,1,False,doInBackground#com.fairphone.fplauncher3.kx,false
3,11,True,onPostExecute#com.fairphone.fplauncher3.li,false
1,8,False,<init>#com.fairphone.fplauncher3.li,false
2,13,False,a#com.fairphone.fplauncher3.li,false
1,1,False,doInBackground#com.fairphone.fplauncher3.li,false
1,1,False,doInBackground#com.fairphone.fplauncher3.iy,false
1,5,False,<init>#com.fairphone.fplauncher3.iy,false
2,28,False,a#com.fairphone.fplauncher3.iy,false
2,11,True,onPostExecute#us.achromaticmetaphor.agram.AnagramActivity$1,false
1,1,False,doInBackground#us.achromaticmetaphor.agram.AnagramActivity$1,false
1,5,False,<init>#us.achromaticmetaphor.agram.AnagramActivity$1,false
1,7,False,doInBackground#us.achromaticmetaphor.agram.AnagramActivity$1,false
1,2,True,onPostExecute#us.achromaticmetaphor.agram.AnagramActivity$1,false
1,7,False,<init>#us.achromaticmetaphor.agram.Wordlist$1,false
3,23,False,doInBackground#us.achromaticmetaphor.agram.Wordlist$1,false
1,2,True,onPostExecute#us.achromaticmetaphor.agram.Wordlist$1,false
1,1,False,doInBackground#us.achromaticmetaphor.agram.Wordlist$1,false
2,5,True,onPostExecute#us.achromaticmetaphor.agram.Wordlist$1,false
1,1,False,doInBackground#us.achromaticmetaphor.agram.AnagramActivity$ScrollFiller$1,false
1,4,True,onPostExecute#us.achromaticmetaphor.agram.AnagramActivity$ScrollFiller$1,false
1,1,False,doInBackground#us.achromaticmetaphor.agram.AnagramActivity$ScrollFiller$1,false
1,3,False,<init>#us.achromaticmetaphor.agram.AnagramActivity$ScrollFiller$1,false
1,2,True,onPostExecute#us.achromaticmetaphor.agram.AnagramActivity$ScrollFiller$1,false
2,5,False,doInBackground#eu.uwot.fabio.altcoinprices.activities.AddCustomCoinActivity$GetCoinDataTask,false
1,2,False,<init>#eu.uwot.fabio.altcoinprices.activities.AddCustomCoinActivity$GetCoinDataTask,false
2,7,True,onPostExecute#eu.uwot.fabio.altcoinprices.activities.AddCustomCoinActivity$GetCoinDataTask,false
1,1,False,doInBackground#eu.uwot.fabio.altcoinprices.activities.AddCustomCoinActivity$GetCoinDataTask,false
1,3,False,<init>#eu.uwot.fabio.altcoinprices.activities.AddCustomCoinActivity$GetCoinDataTask,false
1,2,True,onPostExecute#eu.uwot.fabio.altcoinprices.activities.AddCustomCoinActivity$GetCoinDataTask,false
1,1,False,doInBackground#com.lzx.lock.mvp.p.LockMainPresenter$SearchInfoAsyncTask,false
1,3,True,onPostExecute#com.lzx.lock.mvp.p.LockMainPresenter$SearchInfoAsyncTask,false
1,4,False,<init>#com.lzx.lock.mvp.p.LockMainPresenter$SearchInfoAsyncTask,false
5,30,False,doInBackground#com.lzx.lock.mvp.p.LockMainPresenter$SearchInfoAsyncTask,false
1,2,True,onPostExecute#com.lzx.lock.mvp.p.LockMainPresenter$SearchInfoAsyncTask,false
1,1,False,doInBackground#com.lzx.lock.mvp.p.MainPresenter$LoadLockAsyncTask,false
1,3,True,onPostExecute#com.lzx.lock.mvp.p.MainPresenter$LoadLockAsyncTask,false
1,2,True,onPostExecute#com.lzx.lock.mvp.p.MainPresenter$LoadLockAsyncTask,false
1,3,False,<init>#com.lzx.lock.mvp.p.MainPresenter$LoadLockAsyncTask,false
1,2,False,<init>#com.lzx.lock.mvp.p.MainPresenter$LoadLockAsyncTask,false
7,36,False,doInBackground#com.lzx.lock.mvp.p.MainPresenter$LoadLockAsyncTask,false
1,2,True,onPostExecute#com.lzx.lock.mvp.p.LockMainPresenter$LoadAppInfo,false
1,2,False,<init>#com.lzx.lock.mvp.p.LockMainPresenter$LoadAppInfo,false
6,34,False,doInBackground#com.lzx.lock.mvp.p.LockMainPresenter$LoadAppInfo,false
1,1,False,doInBackground#com.lzx.lock.mvp.p.LockMainPresenter$LoadAppInfo,false
1,3,False,<init>#com.lzx.lock.mvp.p.LockMainPresenter$LoadAppInfo,false
1,3,True,onPostExecute#com.lzx.lock.mvp.p.LockMainPresenter$LoadAppInfo,false
1,5,False,<init>#com.lzx.lock.mvp.p.MainPresenter$LoadAppInfoAsyncTask,false
9,55,False,doInBackground#com.lzx.lock.mvp.p.MainPresenter$LoadAppInfoAsyncTask,false
1,3,True,onPostExecute#com.lzx.lock.mvp.p.MainPresenter$LoadAppInfoAsyncTask,false
1,2,True,onPostExecute#com.lzx.lock.mvp.p.MainPresenter$LoadAppInfoAsyncTask,false
1,1,False,doInBackground#com.lzx.lock.mvp.p.MainPresenter$LoadAppInfoAsyncTask,false
